id,name,full,team,pos,price,sel%,pts_25_26,mins,starts,ppg,g,a,xG,xA,xGI90,xGC90,cs,bonus,bps,defcon,defcon90,ict,joined,status,news,cop_next,pens,sp,fk,ep_next,born
350,A.Becker,Alisson Becker,LIV,GKP,5.5,4.1,91,2340,26,3.5,0,0,0.0,0.03,0.0,1.14,8,8,389,0,0.0,47.8,2018-07-19,a,,,,,,3.3,1992-10-02
9,Hincapie,Piero Hincapié,ARS,DEF,5.5,4.3,87,1787,20,3.5,1,2,0.36,1.67,0.1,0.88,5,7,335,171,8.61,70.9,2026-07-01,a,,,,,,2.5,2002-01-09
125,Georginio,Georginio Rutter,BHA,FWD,5.5,0.7,87,1776,20,2.7,3,5,2.9,2.9,0.3,1.09,7,2,290,131,6.64,113.5,2024-08-19,a,,,,,,1.8,2002-04-20
516,Bentancur,Rodrigo Bentancur,TOT,MID,5.5,0.1,86,1880,23,3.3,1,1,0.72,0.84,0.07,1.13,8,4,366,278,13.31,67.4,2022-01-31,a,,,,,,2.0,1997-06-25
54,Gomes,Joao Gomes,AVL,MID,5.5,0.3,85,2207,25,3.0,1,1,1.15,1.34,0.1,1.98,4,4,421,387,15.78,102.0,2026-07-20,a,,,,,,2.0,2001-02-12
358,Kerkez,Milos Kerkez,LIV,DEF,5.5,5.7,85,2251,27,2.5,2,1,1.5,0.69,0.09,1.2,6,4,357,134,5.36,99.4,2025-06-26,a,,,,,,2.5,2003-11-07
472,Murillo,Murillo Costa dos Santos,NFO,DEF,5.5,0.2,83,2130,25,3.3,1,0,0.73,0.47,0.05,1.39,6,3,333,223,9.42,74.0,2023-08-31,d,Muscular injury - 75% chance of playing,75,,,2,1.9,2002-07-04
549,Talbi,Chemsdine Talbi,SUN,MID,5.5,0.2,83,1553,16,3.0,4,2,2.13,1.18,0.19,1.29,7,6,248,92,5.33,69.1,2025-07-09,a,,,,,,2.0,2005-05-09
484,Hutchinson,Omari Hutchinson,NFO,MID,5.5,0.2,82,1676,17,2.6,1,7,2.01,3.87,0.32,1.31,6,3,329,129,6.93,121.6,2025-08-16,a,,,,4,,2.0,2003-10-30
373,C.Jones,Curtis Jones,LIV,MID,5.5,0.1,81,1923,18,2.4,1,3,2.21,2.77,0.23,1.47,3,6,447,237,11.09,104.6,2018-04-06,a,,,,,,2.0,2001-01-30
455,Tonali,Sandro Tonali,TOT,MID,5.5,4.0,81,2534,31,2.3,0,2,1.75,2.87,0.16,1.29,7,2,477,257,9.13,113.4,2026-07-06,a,,,,10,4,2.0,2000-05-08
262,Smith Rowe,Emile Smith Rowe,FUL,MID,5.5,0.4,80,1909,22,2.2,3,1,4.71,1.12,0.27,1.47,6,1,351,148,6.98,102.6,2024-08-02,a,,,,,,2.0,2000-07-28
391,Gvardiol,Joško Gvardiol,MCI,DEF,5.5,11.7,79,1370,16,4.4,2,2,2.25,0.7,0.2,1.05,6,5,303,103,6.77,69.8,2023-08-05,a,,,,,,2.5,2002-01-23
124,Groß,Pascal Groß,BHA,MID,5.5,8.4,78,1636,18,4.1,1,6,1.39,3.95,0.3,1.12,6,10,389,145,7.98,128.5,2026-01-02,a,,,1,5,,2.0,1991-06-15
211,Yeremy,Yéremy Pino Santos,CRY,MID,5.5,0.2,77,2074,26,2.3,2,2,4.53,6.12,0.47,1.3,7,3,331,167,7.25,141.4,2025-08-29,a,,,,6,1,2.0,2002-10-20
553,Isidor,Wilson Isidor,SUN,FWD,5.5,1.2,74,1148,11,2.3,6,1,4.7,0.38,0.4,1.55,4,7,266,51,4.0,71.5,2025-02-01,a,,,,,,1.8,2000-08-27
347,Nmecha,Lukas Nmecha,LEE,FWD,5.5,0.6,73,1065,10,2.4,6,1,7.25,1.58,0.74,1.85,3,8,268,57,4.82,87.8,2025-07-01,a,,,2,,,1.8,1998-12-14
432,Mainoo,Kobbie Mainoo,MUN,MID,5.5,1.3,73,1653,16,2.6,1,2,0.48,1.27,0.1,1.25,6,2,340,187,10.18,82.1,2022-10-15,a,,,,,,2.0,2005-04-19
458,Joelinton,Joelinton Cássio Apolinário de Lira,NEW,MID,5.5,0.0,73,1950,23,2.7,2,1,2.36,1.35,0.17,1.33,5,2,304,238,10.98,95.0,2019-07-24,d,Thigh injury - 75% chance of playing,75,,,,1.5,1996-08-14
459,L.Miley,Lewis Miley,NEW,MID,5.5,0.0,72,1493,15,3.1,1,4,1.36,2.1,0.21,1.28,2,5,334,155,9.34,73.0,2023-02-01,i,Leg injury - Expected back 30 Aug,0,,7,,0.0,2006-05-01
393,Khusanov,Abdukodir Khusanov,MCI,DEF,5.5,2.0,67,1427,15,3.2,0,0,0.65,1.21,0.12,1.32,6,3,293,123,7.76,43.9,2025-01-20,a,,,,,,2.5,2004-02-29
543,Diarra,Habib Diarra,SUN,MID,5.5,0.1,65,1403,15,3.2,2,6,3.27,0.85,0.26,1.38,5,3,209,79,5.07,53.9,2025-07-01,a,,,1,,,2.0,2004-01-03
268,King,Josh King,FUL,MID,5.5,0.1,63,1290,15,2.0,1,3,2.47,0.66,0.22,1.32,5,3,225,107,7.47,73.3,2024-02-02,a,,,,,,2.0,2007-01-03
357,Frimpong,Jeremie Frimpong,LIV,DEF,5.5,3.0,63,1032,12,3.0,0,5,0.5,1.55,0.18,1.13,5,1,237,30,2.62,56.5,2025-06-01,a,,,,,,2.5,2000-12-10
405,N.Gonzalez,Nico González Iglesias,MCI,MID,5.5,0.1,63,1561,17,2.5,1,0,0.68,1.12,0.1,1.17,7,1,337,206,11.88,61.5,2025-02-03,a,,,,,,2.0,2002-01-03
392,Aït-Nouri,Rayan Aït-Nouri,MCI,DEF,5.5,1.0,60,971,12,3.5,0,2,0.53,2.01,0.24,1.14,5,9,237,67,6.21,50.2,2025-06-09,a,,,,,,2.5,2001-06-06
430,Mount,Mason Mount,MUN,MID,5.5,0.1,58,1010,12,2.5,3,0,1.56,1.62,0.28,1.11,5,3,201,102,9.09,58.0,2023-07-05,a,,,,,3,2.0,1999-01-10
241,McNeil,Dwight McNeil,EVE,MID,5.5,0.1,53,1161,14,2.4,0,3,1.37,1.91,0.26,1.46,6,1,186,111,8.6,52.2,2022-07-28,a,,,,6,2,2.0,1999-11-22
483,Ndoye,Dan Ndoye,NFO,MID,5.5,0.5,50,1167,14,2.1,1,2,1.05,1.51,0.2,1.23,2,4,178,96,7.4,56.6,2025-07-31,a,,,,,,2.0,2000-10-25
263,Kevin,Kevin Santos Lopes de Macedo,FUL,MID,5.5,0.1,49,1030,9,1.9,1,3,1.21,1.47,0.24,1.27,4,0,183,86,7.51,70.4,2025-09-01,a,,,,6,,2.0,2003-01-04
520,Bergvall,Lucas Bergvall,TOT,MID,5.5,0.2,49,955,11,2.1,1,3,1.23,0.43,0.16,1.29,3,0,163,79,7.45,41.5,2024-07-01,a,,,,,,2.0,2006-02-02
517,Odobert,Wilson Odobert,TOT,MID,5.5,0.0,46,972,10,1.9,0,2,1.92,1.21,0.29,1.32,2,6,176,77,7.13,67.6,2024-08-16,i,Knee injury - Unknown return date,0,,,,0.0,2004-11-28
10,White,Benjamin White,ARS,DEF,5.5,0.3,45,699,9,3.8,0,1,0.45,0.69,0.15,1.12,5,3,181,53,6.82,34.3,2021-07-30,a,,100,,,,2.5,1997-10-08
167,Delap,Liam Delap,CHE,FWD,5.5,0.5,45,1092,12,1.6,1,2,4.54,0.23,0.39,1.37,2,1,123,42,3.46,47.3,2025-06-04,a,,,4,,,1.8,2003-02-08
42,Guessand,Evann Guessand,AVL,MID,5.5,0.0,44,909,9,2.1,1,3,1.56,0.85,0.23,1.43,2,0,143,83,8.22,42.0,2025-08-08,a,,,,,,2.0,2001-07-01
519,Gallagher,Conor Gallagher,TOT,MID,5.5,0.2,44,1183,14,2.8,1,1,1.23,0.7,0.14,1.45,2,3,211,124,9.43,55.1,2026-01-14,a,,,,,,2.0,2000-02-06
492,Awoniyi,Taiwo Awoniyi,NFO,FWD,5.5,0.4,43,480,3,2.5,4,2,3.68,0.77,0.83,1.94,1,4,170,26,4.88,48.4,2022-06-25,a,,,,,,1.8,1997-08-12
264,Bobb,Oscar Bobb,FUL,MID,5.5,0.4,42,1030,11,1.8,0,2,1.47,2.1,0.31,1.11,4,0,182,76,6.64,66.4,2026-01-30,a,,,,,,2.0,2003-07-12
440,Zirkzee,Joshua Zirkzee,MUN,FWD,5.5,0.7,42,607,5,1.8,2,1,2.74,0.34,0.46,1.4,2,6,146,44,6.52,58.3,2024-07-17,a,,,,,,1.8,2001-05-22
11,Mosquera,Cristhian Mosquera,ARS,DEF,5.5,16.6,40,986,9,2.0,0,0,0.1,0.63,0.07,0.83,3,1,195,95,8.67,32.9,2025-07-24,a,,,,,,2.5,2004-06-27
370,Chiesa,Federico Chiesa,LIV,MID,5.5,0.2,37,317,1,1.4,2,1,1.45,0.61,0.58,1.85,0,0,135,30,8.52,34.9,2024-08-29,a,,,,,,2.0,1997-10-25
271,Muniz,Rodrigo Muniz Carvalho,FUL,FWD,5.5,0.7,36,987,10,1.7,1,1,3.3,0.15,0.31,1.26,3,3,94,52,4.74,47.3,2021-08-20,a,,,,,,1.8,2001-05-04
138,Kostoulas,Charalampos Kostoulas,BHA,FWD,5.5,0.3,35,351,2,1.7,2,1,2.12,0.54,0.68,1.55,1,3,140,41,10.51,52.4,2025-07-01,a,,,,,,1.8,2007-05-30
230,Branthwaite,Jarrad Branthwaite,EVE,DEF,5.5,1.9,32,678,7,3.2,1,1,0.34,0.11,0.06,1.25,1,0,108,67,8.89,29.3,2020-06-20,a,,,,,,2.5,2002-06-27
7,Lewis-Skelly,Myles Lewis-Skelly,ARS,MID,5.5,0.3,29,697,5,1.4,0,0,0.1,0.2,0.04,1.16,2,0,110,25,3.23,17.6,2022-12-04,a,,,,,,2.0,2006-09-26
80,Enes Ünal,Enes Ünal,BOU,FWD,5.5,0.2,27,214,0,1.2,1,0,2.0,0.07,0.87,2.59,0,1,83,23,9.67,19.1,2024-07-01,a,,,,,5,1.8,1997-05-10
485,Bakwa,Dilane Bakwa,NFO,MID,5.5,0.0,26,549,6,1.9,0,2,0.54,1.01,0.26,1.79,2,1,100,35,5.74,35.6,2025-09-01,a,,,,6,,2.0,2002-08-26
