id,name,full_name,team,team_id,pos,pos_id,price,proj_gw,proj_6gw,proj_by_gw,mins_proj,value,sel_pct,pts_last,mins_last,ppg_last,goals_last,assists_last,xgi90_last,defcon_last,cs_last,bonus_last,status,news,joined,is_new,pens,corners,fk,fdr6,cs_rate,note
229,Tarkowski,James Tarkowski,EVE,9,DEF,2,6.0,4.703,28.22,"[4.837, 4.453, 4.443, 4.453, 5.231, 4.804]",87,0.7839,9.9,170,3330,4.6,2,3,0.13,376,11,12,a,,2022-07-01,False,,,,17,0.224,
498,Senesi,Marcos Senesi Barón,TOT,19,DEF,2,6.0,4.663,27.98,"[4.478, 5.202, 4.478, 4.835, 4.835, 4.151]",86,0.7772,10.8,175,3288,4.7,0,6,0.17,419,11,14,a,,2026-07-01,True,,,,18,0.239,
398,Foden,Phil Foden,MCI,15,MID,3,7.0,4.616,27.7,"[4.787, 4.425, 5.193, 4.051, 5.193, 4.051]",68,0.6595,7.6,131,2078,4.0,7,5,0.47,160,11,13,a,,2016-12-05,False,,4,3,18,0.312,"One of Maresca's ""three central pillars""; on corners and FKs"
55,Watkins,Ollie Watkins,AVL,2,FWD,4,8.0,4.554,27.32,"[4.376, 4.333, 4.753, 4.741, 4.376, 4.741]",74,0.5692,12.5,167,2833,4.5,16,4,0.53,94,9,26,a,,2020-09-09,False,2,,,18,0.245,
200,Lacroix,Maxence Lacroix,CHE,6,DEF,2,6.0,4.522,27.13,"[4.323, 5.074, 3.646, 5.074, 4.323, 4.693]",81,0.7537,12.0,154,3085,4.4,1,2,0.09,370,11,11,a,,2026-07-30,True,,,,18,0.254,
1,Raya,David Raya Martín,ARS,1,GKP,1,6.0,4.519,27.11,"[5.31, 3.771, 4.24, 4.242, 4.242, 5.31]",88,0.7532,30.9,162,3330,4.4,0,0,0.0,0,19,11,a,,2024-07-04,False,,,,18,0.491,
427,Mbeumo,Bryan Mbeumo,MUN,16,MID,3,8.0,4.502,27.01,"[4.63, 5.015, 4.263, 4.221, 4.263, 4.618]",68,0.5627,18.0,148,2611,4.5,11,3,0.58,139,8,16,a,,2025-07-21,False,2,5,2,17,0.283,Playing centrally under Carrick and second on pens behind Bruno
387,O'Reilly,Nico O'Reilly,MCI,15,DEF,2,6.5,4.44,26.64,"[4.657, 4.186, 5.14, 3.758, 5.14, 3.758]",71,0.6831,22.7,160,2643,4.7,5,4,0.3,172,14,10,a,,2022-12-16,False,,,,18,0.312,
452,Bruno G.,Bruno Guimarães Rodriguez Moura,NEW,17,MID,3,7.0,4.382,26.29,"[4.128, 4.167, 4.487, 4.167, 4.846, 4.498]",68,0.626,9.1,154,2456,5.3,9,7,0.38,251,6,22,a,,2022-01-30,False,3,6,2,17,0.259,
8,Calafiori,Riccardo Calafiori,ARS,1,DEF,2,5.5,4.307,25.84,"[5.055, 3.6, 4.043, 4.044, 4.044, 5.055]",68,0.7831,16.0,109,1697,4.2,1,2,0.22,102,13,6,a,,2024-07-29,False,,,,18,0.491,
